region,unit,ymin,ymax,xmax,xmin
N.MARIAN,Agrihan,17.72,19.81,146.7,144.64
S.MARIAN,Aguijan,13.83,15.87,146.58,144.53
N.MARIAN,Alamagan,16.58,18.62,146.85,144.81
N.MARIAN,Asuncion,18.67,20.71,146.42,144.39
PRIAs,Baker,-0.81,1.21,-175.46,-177.49
N.MARIAN,Farallon_de_Pajaros,19.53,21.55,145.91,143.89
NWHI,French_Frigate,22.62,24.88,-165.05,-167.35
NWHI,Gardner,24,26,-167,-170
S.MARIAN,Guam,12.23,14.66,145.96,143.62
N.MARIAN,Guguan,16.29,18.32,146.85,144.83
MHI,Hawaii,17.92,21.27,-153.81,-157.06
PRIAs,Howland,-0.21,1.82,-175.61,-177.63
PRIAs,Jarvis,-1.38,0.64,-158.97,-161.02
PRIAs,Johnston,15.66,17.78,-168.37,-170.57
MHI,Kahoolawe,19.5,21.61,-155.53,-157.71
MHI,Kauai,20.87,23.25,-158.28,-160.79
PRIAs,Kingman,5.38,7.45,-161.33,-163.48
NWHI,Kure,27.38,29.46,-177.28,-179.38
MHI,Lanai,19.73,21.93,-155.8,-158.06
NWHI,Laysan,24.72,26.8,-170.68,-172.77
NWHI,Lisianski,24.89,27.1,-172.85,-175.07
NWHI,Maro,24.32,26.52,-169.47,-171.7
N.MARIAN,Maug,19.01,21.04,146.24,144.21
MHI,Maui,19.58,22.03,-154.97,-157.7
NWHI,Midway,27.19,29.29,-176.31,-178.43
MHI,Molokai,20.03,22.22,-155.71,-158.31
NWHI,Necker,22.56,24.58,-163.69,-165.72
NWHI,Nihoa,22.05,24.06,-160.91,-162.93
MHI,Niihau,20.78,23.03,-159.05,-161.25
MHI,Oahu,20.24,22.7,-156.65,-159.29
SAMOA,Ofu_&_Olosega,-15.19,-13.15,-168.6,-170.69
N.MARIAN,Pagan,17.04,19.17,146.81,144.71
PRIAs,Palmyra,4.86,6.9,-161,-163.17
NWHI,Pearl_&_Hermes,26.75,28.97,-174,-177.02
SAMOA,Rose,-15.56,-13.53,-167.14,-169.17
S.MARIAN,Rota,13.11,15.2,146.29,144.13
S.MARIAN,Saipan,14.09,16.29,146.83,144.66
N.MARIAN,Sarigan,15.69,17.72,146.79,144.77
SAMOA,South_Bank,-15.89,-13.88,-169.63,-171.63
SAMOA,Swains,-12.07,-10.05,-170.06,-172.09
SAMOA,Tau,-15.28,-13.21,-168.42,-170.52
S.MARIAN,Tinian,13.92,16.09,146.67,144.58
SAMOA,Tutuila,-15.37,-13.23,-169.51,-171.85
PRIAs,Wake,18.27,20.33,167.66,165.59
