Scientific.Name,Longitude,Latitude
Apolemichthys xanthopunctatus,173.838155,0.35065
Apolemichthys xanthopunctatus,172.9898,1.733592
Apolemichthys xanthopunctatus,172.870324,1.860559
Apolemichthys xanthopunctatus,-159.9731,-0.38055
Apolemichthys xanthopunctatus,-160.0144,-0.3764
Apolemichthys xanthopunctatus,-159.97953,-0.36783
Apolemichthys xanthopunctatus,-176.48893,0.19085
Apolemichthys xanthopunctatus,-176.47988,0.1883
Apolemichthys xanthopunctatus,-176.47007,0.1868
Apolemichthys xanthopunctatus,-176.62038,0.79877
Apolemichthys xanthopunctatus,-176.6244,0.80875
Apolemichthys xanthopunctatus,-176.47943,0.20593
Apolemichthys xanthopunctatus,-176.62178,0.797
Apolemichthys xanthopunctatus,-176.62065,0.79513
Apolemichthys xanthopunctatus,-159.9984,-0.3818
Apolemichthys xanthopunctatus,-160.0086,-0.3695
Apolemichthys xanthopunctatus,-159.990866,-0.38219
Apolemichthys xanthopunctatus,-160.003888,-0.382018
Apolemichthys xanthopunctatus,-159.99209,-0.36268
Apolemichthys xanthopunctatus,-176.47439,0.20532
Apolemichthys xanthopunctatus,-176.47473,0.18763
Apolemichthys xanthopunctatus,-176.61952,0.79706
Apolemichthys xanthopunctatus,-160.00635,-0.36537
Apolemichthys xanthopunctatus,-159.98388,-0.3825
Apolemichthys xanthopunctatus,-159.99086,-0.36334
Apolemichthys xanthopunctatus,-176.48273,0.1882
Apolemichthys xanthopunctatus,-176.4862,0.197
Apolemichthys xanthopunctatus,-176.61577,0.78987
Apolemichthys xanthopunctatus,-176.485,0.1989
Apolemichthys xanthopunctatus,-162.013784,5.873823
Apolemichthys xanthopunctatus,-162.016323,5.870771
Apolemichthys xanthopunctatus,-162.029881,5.865515
Apolemichthys xanthopunctatus,-162.145359,5.878593
Apolemichthys xanthopunctatus,-162.150069,5.8747490000000004
Apolemichthys xanthopunctatus,-162.165869,5.87524
Apolemichthys xanthopunctatus,-162.006637,5.870346
Apolemichthys xanthopunctatus,-162.127158,5.863703
Apolemichthys xanthopunctatus,-162.136447,5.866555
Apolemichthys xanthopunctatus,-162.005566,5.868442
Apolemichthys xanthopunctatus,-162.151433,5.88074
Apolemichthys xanthopunctatus,-162.148678,5.874235
Apolemichthys xanthopunctatus,-162.00069,5.870216
Apolemichthys xanthopunctatus,-162.149601,5.876522
Apolemichthys xanthopunctatus,-162.093688,5.897917
Apolemichthys xanthopunctatus,-162.003197,5.871932
Apolemichthys xanthopunctatus,-162.01748,5.861227
