Scientific.Name,Longitude,Latitude
Balistapus undulatus,81.207848,8.724255
Balistapus undulatus,34.219509,26.205105
Balistapus undulatus,34.357655,27.915649
Balistapus undulatus,98.8969,7.43321
Balistapus undulatus,98.8956,7.42953
Balistapus undulatus,134.219642,7.321987
Balistapus undulatus,178.980692,-17.581783
Balistapus undulatus,178.4667,-17.315383
Balistapus undulatus,179.264517,-17.638967
Balistapus undulatus,179.06613,-17.114855
Balistapus undulatus,34.041,26.6555
Balistapus undulatus,123.393309,9.429271
Balistapus undulatus,125.225601,1.4521
Balistapus undulatus,124.78,1.593417
Balistapus undulatus,105.575523,-10.446286
Balistapus undulatus,105.625904,-10.452927
Balistapus undulatus,130.6,-0.583333
Balistapus undulatus,73.562488,4.634077
Balistapus undulatus,37.24767,24.442683
Balistapus undulatus,54.178017,12.670333
Balistapus undulatus,98.824,7.1461
Balistapus undulatus,97.8006,8.82823
Balistapus undulatus,-156.666,20.8112
Balistapus undulatus,119.372,11.064
Balistapus undulatus,-171.265,-4.45528
Balistapus undulatus,-171.725,-2.78
Balistapus undulatus,-174.54806,-4.655
Balistapus undulatus,-172.22694,-4.53528
Balistapus undulatus,99.7926,10.1238
Balistapus undulatus,99.8153,10.0987
Balistapus undulatus,99.8089,10.1087
Balistapus undulatus,99.8359,10.1212
Balistapus undulatus,98.767,7.657
Balistapus undulatus,-156.497,20.6336
Balistapus undulatus,116.008,6.00658
Balistapus undulatus,98.038,9.37
Balistapus undulatus,99.8085,10.125
Balistapus undulatus,98.7757,7.74348
Balistapus undulatus,34.5197,28.4991
Balistapus undulatus,34.8612,25.3111
Balistapus undulatus,100.014,9.51202
Balistapus undulatus,123.674,9.5099
Balistapus undulatus,99.8118,10.1162
Balistapus undulatus,33.9559,27.2009
Balistapus undulatus,73.45,5.55
Balistapus undulatus,99.9867,9.93613
Balistapus undulatus,98.8879,7.42239
Balistapus undulatus,-81.5507,28.3756
Balistapus undulatus,147.2865,-9.57011
Balistapus undulatus,147.28369,-9.59375
Balistapus undulatus,147.26811,-9.53906
Balistapus undulatus,147.27639,-9.54056
Balistapus undulatus,-172.00575,-13.80569
Balistapus undulatus,134.69025,8.09197
Balistapus undulatus,131.7556,2.7989
Balistapus undulatus,131.8311,2.9228
Balistapus undulatus,132.3153,4.3056
Balistapus undulatus,132.22433,5.3217
Balistapus undulatus,145.7628,15.1633
Balistapus undulatus,178.447,-18.1862
Balistapus undulatus,178.399333,-18.159833
Balistapus undulatus,145.596772,14.986433
Balistapus undulatus,-149.843481,-17.483355
Balistapus undulatus,115.61128,-8.501928
Balistapus undulatus,-149.757146,-17.499325
Balistapus undulatus,-171.757337,-13.822638
Balistapus undulatus,130.694052,-0.452421
Balistapus undulatus,167.221304,-15.533026
Balistapus undulatus,-159.7955,-21.2311
Balistapus undulatus,32.954231,-26.070561
Balistapus undulatus,145.98277,-16.46304
Balistapus undulatus,-149.90059,-17.48783
Balistapus undulatus,-151.738656,-16.504436
Balistapus undulatus,-172.362791,-13.442305
Balistapus undulatus,178.066698,-18.344754
Balistapus undulatus,-139.0301,-9.808525
Balistapus undulatus,145.98277,-16.46306
