Scientific.Name,Longitude,Latitude
Heniochus diphreutes,-158.063,21.652
Heniochus diphreutes,34.740421,25.336998
Heniochus diphreutes,119.569272,-8.446295
Heniochus diphreutes,119.614408,-8.537103
Heniochus diphreutes,-157.67596,21.276642
Heniochus diphreutes,-158.131809,21.353181
Heniochus diphreutes,125.135,10.0613
Heniochus diphreutes,72.9353,3.5552
Heniochus diphreutes,32.6569,-27.655
Heniochus diphreutes,-158.130286,21.353161
Heniochus diphreutes,-158.180809,21.369006
Heniochus diphreutes,-157.839203,21.260901
Heniochus diphreutes,-156.500244,20.629893
Heniochus diphreutes,-155.996926,19.639994
Heniochus diphreutes,-157.846,21.283
Heniochus diphreutes,-105.014,39.7518
Heniochus diphreutes,73.005,3.24084
Heniochus diphreutes,72.9752,3.16566
Heniochus diphreutes,72.9713,3.18093
Heniochus diphreutes,127.746,26.3227
Heniochus diphreutes,114.13,-21.8729
Heniochus diphreutes,120.975,13.5226
Heniochus diphreutes,123.799,9.59869
Heniochus diphreutes,116.032,-8.33498
Heniochus diphreutes,116.026,-8.35673
Heniochus diphreutes,-156.495,20.6335
Heniochus diphreutes,-156.451,20.6946
Heniochus diphreutes,114.17,-21.7701
Heniochus diphreutes,34.3946,27.9502
Heniochus diphreutes,167.447,-22.5771
Heniochus diphreutes,56.3661,25.4824
Heniochus diphreutes,34.4532,27.9845
Heniochus diphreutes,99.8404,10.0956
Heniochus diphreutes,33.9841,27.1631
Heniochus diphreutes,33.9535,27.1399
Heniochus diphreutes,134.076,-0.870619
Heniochus diphreutes,134.103,-0.918783
Heniochus diphreutes,166.436322,-22.297778
Heniochus diphreutes,153.101208,-30.938729
Heniochus diphreutes,153.368391,-27.163826
Heniochus diphreutes,153.36861,-27.164684
Heniochus diphreutes,-157.836872,21.261087
Heniochus diphreutes,119.94727,8.864773
Heniochus diphreutes,-177.880225,-29.243947
Heniochus diphreutes,72.951549,3.653207
Heniochus diphreutes,43.550358,-23.147576
Heniochus diphreutes,119.950038,8.86088
Heniochus diphreutes,119.949117,8.862019
Heniochus diphreutes,-157.859867,21.2797
Heniochus diphreutes,168.176034,-17.671133
Heniochus diphreutes,168.167976,-17.672317
Heniochus diphreutes,153.367807,-27.162152
Heniochus diphreutes,34.738126,25.337374
Heniochus diphreutes,143.968202,-11.724473
Heniochus diphreutes,-158.1647,21.3887
Heniochus diphreutes,130.532402,-2.151347
Heniochus diphreutes,153.100684,-30.9384
Heniochus diphreutes,166.436006,-22.30023
Heniochus diphreutes,115.593381,-8.273969
Heniochus diphreutes,153.628972,-28.611592
Heniochus diphreutes,119.566062,-8.433129
Heniochus diphreutes,73.603591,4.355659
Heniochus diphreutes,121.484927,22.634981
Heniochus diphreutes,119.566922,-8.440458
Heniochus diphreutes,99.83345,10.065533
Heniochus diphreutes,115.605796,-8.287101
Heniochus diphreutes,124.001593,10.187782
Heniochus diphreutes,35.36397,24.75524
Heniochus diphreutes,73.4615,3.91461
Heniochus diphreutes,167.41972,-22.655
Heniochus diphreutes,55.8362,-21.15998
Heniochus diphreutes,73.50441,3.5811
Heniochus diphreutes,34.79778,25.24528
Heniochus diphreutes,98.88871,7.42345
Heniochus diphreutes,73.50171,3.5984
Heniochus diphreutes,35.65028,24.24167
Heniochus diphreutes,33.90808,27.35267
Heniochus diphreutes,55.22477,-21.02551
Heniochus diphreutes,34.13083,27.70639
Heniochus diphreutes,34.79782,25.24526
Heniochus diphreutes,35.9295,23.41087
Heniochus diphreutes,34.07759,26.7573
Heniochus diphreutes,33.95562,27.14065
Heniochus diphreutes,55.25515,-21.00811
Heniochus diphreutes,33.98514,27.19303
Heniochus diphreutes,37.04968,22.2714
Heniochus diphreutes,34.58244,25.66301
Heniochus diphreutes,55.2838,-21.17982
Heniochus diphreutes,36.94531,22.34763
Heniochus diphreutes,37.64844,21.65497
Heniochus diphreutes,34.96222,24.92611
Heniochus diphreutes,33.98832,26.78467
Heniochus diphreutes,35.71322,24.15755
Heniochus diphreutes,167.13472,-20.78137
Heniochus diphreutes,36.29698,22.9802
Heniochus diphreutes,55.2167,-21.06265
Heniochus diphreutes,34.39455,25.94119
Heniochus diphreutes,33.95228,27.21604
Heniochus diphreutes,33.83167,27.28463
Heniochus diphreutes,33.98298,27.16144
Heniochus diphreutes,33.97912,27.15827
Heniochus diphreutes,34.93708,25.07137
Heniochus diphreutes,33.92912,27.23751
Heniochus diphreutes,55.22802,-21.02247
Heniochus diphreutes,33.83111,27.29486
Heniochus diphreutes,33.88756,27.2678
Heniochus diphreutes,34.10731,26.71256
Heniochus diphreutes,33.95209,27.13904
Heniochus diphreutes,33.98793,26.78539
Heniochus diphreutes,34.86367,26.30211
Heniochus diphreutes,33.95243,27.30391
Heniochus diphreutes,34.91795,29.50137
Heniochus diphreutes,34.73934,25.33849
Heniochus diphreutes,33.92667,27.57944
Heniochus diphreutes,34.96826,29.44358
Heniochus diphreutes,166.44206,-22.4981
Heniochus diphreutes,34.14861,26.97
Heniochus diphreutes,33.99056,26.83694
Heniochus diphreutes,33.92778,27.73806
Heniochus diphreutes,33.88187,27.26461
Heniochus diphreutes,33.95231,27.16785
Heniochus diphreutes,35.43667,25.52
Heniochus diphreutes,35.90393,23.42875
Heniochus diphreutes,33.95387,27.22336
Heniochus diphreutes,35.44555,24.21897
Heniochus diphreutes,37.0332,22.34763
Heniochus diphreutes,34.97,29.43
Heniochus diphreutes,37.56055,21.65497
Heniochus diphreutes,34.08637,26.75096
Heniochus diphreutes,33.89444,27.04639
Heniochus diphreutes,35.99022,23.42052
