Scientific.Name,Longitude,Latitude,Country
Lutjanus gibbus,145.662231,-14.66464,AU
Lutjanus gibbus,145.676651,-14.92853,AU
Lutjanus gibbus,55.375366,-4.668759,SC
Lutjanus gibbus,73.563157,4.635119,MV
Lutjanus gibbus,40.826967,18.658617,SA
Lutjanus gibbus,118.99,4.47135,MY
Lutjanus gibbus,119.3639,-17.2794,AU
Lutjanus gibbus,147.26264,-9.53931,PG
Lutjanus gibbus,147.19947,-9.47789,PG
Lutjanus gibbus,134.52111,7.8315,PW
Lutjanus gibbus,132.2325,5.3547,PW
Lutjanus gibbus,131.7314,2.8022,PW
Lutjanus gibbus,-179.042167,-16.223833,FJ
Lutjanus gibbus,178.360333,-18.1505,FJ
Lutjanus gibbus,-179.042167,-16.223833,FJ
Lutjanus gibbus,144.744399,13.478123,GU
Lutjanus gibbus,55.6455,-3.765167,SC
Lutjanus gibbus,178.4512,-18.186,FJ
Lutjanus gibbus,72.180053,10.848457,IN
Lutjanus gibbus,145.796424,-15.492552,AU
Lutjanus gibbus,145.712282,15.223722,MP
Lutjanus gibbus,130.55635,-2.24498,ID
Lutjanus gibbus,72.173529,10.851491,IN
Lutjanus gibbus,-149.808586,-17.592815,PF
Lutjanus gibbus,166.436322,-22.297778,NC
Lutjanus gibbus,-162.118063,5.875039,UM
Lutjanus gibbus,165.256755,-20.816578,NC
Lutjanus gibbus,167.512455,11.373884,MH
Lutjanus gibbus,72.951523,3.654179,MV
Lutjanus gibbus,119.948507,8.863659,PH
Lutjanus gibbus,72.951001,3.652264,MV
Lutjanus gibbus,-149.617532,-17.635198,PF
Lutjanus gibbus,72.951549,3.653207,MV
Lutjanus gibbus,119.949597,8.866506,PH
Lutjanus gibbus,130.603073,-0.590171,ID
Lutjanus gibbus,120.102694,12.191713,PH
Lutjanus gibbus,178.109068,-18.335827,FJ
Lutjanus gibbus,119.869118,-8.411651,ID
Lutjanus gibbus,73.470348,3.894629,MV
Lutjanus gibbus,34.738126,25.337374,EG
Lutjanus gibbus,144.050142,-11.601736,AU
Lutjanus gibbus,116.070808,5.980493,MY
Lutjanus gibbus,39.070276,22.291824,SA
Lutjanus gibbus,32.690088,-27.523519,ZA
Lutjanus gibbus,178.34367,-7.963459,TV
Lutjanus gibbus,178.342642,-7.991092,TV
Lutjanus gibbus,32.690163,-27.523679,ZA
Lutjanus gibbus,166.895735,11.179056,MH
Lutjanus gibbus,166.836496,11.153451,MH
Lutjanus gibbus,166.882067,11.157271,MH
Lutjanus gibbus,166.83751,11.152035,MH
Lutjanus gibbus,166.779955,11.168257,MH
Lutjanus gibbus,166.843792,11.153993,MH
Lutjanus gibbus,166.866687,11.157786,MH
Lutjanus gibbus,166.723784,11.191619,MH
Lutjanus gibbus,166.838679,11.151681,MH
Lutjanus gibbus,166.885774,11.156579,MH
Lutjanus gibbus,166.89014,11.155093,MH
Lutjanus gibbus,166.895918,11.173841,MH
Lutjanus gibbus,166.843046,11.148967,MH
Lutjanus gibbus,166.836834,11.152732,MH
Lutjanus gibbus,146.273376,-16.72437,AU
Lutjanus gibbus,-179.001583,-17.186867,FJ
Lutjanus gibbus,-179.168083,-17.424333,FJ
Lutjanus gibbus,179.042217,-16.223833,FJ
Lutjanus gibbus,178.360333,-18.150533,FJ
Lutjanus gibbus,178.4727,-18.17425,FJ
Lutjanus gibbus,72.780458,3.619397,MV
Lutjanus gibbus,72.961202,3.63507,MV
Lutjanus gibbus,130.698752,-0.454352,ID
Lutjanus gibbus,72.37967,-7.26176,IO
Lutjanus gibbus,145.971473,-16.758089,AU
Lutjanus gibbus,177.401403,-16.931518,FJ
Lutjanus gibbus,48.273355,-13.525424,MG
Lutjanus gibbus,145.644039,-16.044846,AU
Lutjanus gibbus,72.995779,4.269417,MV
Lutjanus gibbus,177.141367,-17.353318,FJ
Lutjanus gibbus,130.517163,-0.566369,ID
Lutjanus gibbus,72.960868,3.632642,MV
Lutjanus gibbus,73.425286,5.49284,MV
Lutjanus gibbus,72.957438,3.635075,MV
Lutjanus gibbus,145.844396,-16.107076,AU
Lutjanus gibbus,-162.082432,5.894344,UM
Lutjanus gibbus,-162.089006,5.895405,UM
Lutjanus gibbus,39.388048,-4.66008,KE
Lutjanus gibbus,96.911635,-12.12364,CC
Lutjanus gibbus,150.787119,-2.591545,PG
Lutjanus gibbus,-149.6204,-17.54003,PF
Lutjanus gibbus,-149.61879,-17.63363,PF
Lutjanus gibbus,166.44194,-22.49806,NC
Lutjanus gibbus,166.445,-22.49861,NC
Lutjanus gibbus,-149.62027,-17.61433,PF
Lutjanus gibbus,73.53544,2.02004,MV
Lutjanus gibbus,-149.88969,-17.48245,PF
Lutjanus gibbus,72.91008,3.57236,MV
Lutjanus gibbus,35.36397,24.75524,EG
Lutjanus gibbus,72.91202,3.5752100000000002,MV
Lutjanus gibbus,-149.85086,-17.47995,PF
Lutjanus gibbus,73.50171,3.5984,MV
Lutjanus gibbus,130.61066,-2.22115,ID
Lutjanus gibbus,166.17472,-22.28083,NC
