Scientific.Name,Longitude,Latitude
Lutjanus kasmira,145.624466,-14.877769
Lutjanus kasmira,34.041,26.6555
Lutjanus kasmira,32.704,-27.6284
Lutjanus kasmira,-151.76521,-16.531182
Lutjanus kasmira,-158.131702,21.352622
Lutjanus kasmira,-157.695895,21.270755
Lutjanus kasmira,-159.495289,21.880702
Lutjanus kasmira,-157.840919,21.262501
Lutjanus kasmira,-158.130286,21.353161
Lutjanus kasmira,-157.696166,21.270779
Lutjanus kasmira,-157.693792,21.269036
Lutjanus kasmira,-156.017,19.6475
Lutjanus kasmira,72.9751,3.16545
Lutjanus kasmira,118.835,9.95412
Lutjanus kasmira,-156.923,20.7338
Lutjanus kasmira,32.6859,-27.5276
Lutjanus kasmira,-86.6832,21.0917
Lutjanus kasmira,-159.479,21.8272
Lutjanus kasmira,118.99,4.47135
Lutjanus kasmira,99.269,6.51329
Lutjanus kasmira,99.8113,10.0582
Lutjanus kasmira,39.7632,-3.98438
Lutjanus kasmira,33.9841,27.1631
Lutjanus kasmira,131.73,2.8631
Lutjanus kasmira,131.835,2.9669
Lutjanus kasmira,134.536,7.99958
Lutjanus kasmira,55.375168,-4.636667
Lutjanus kasmira,-179.061833,-16.195833
Lutjanus kasmira,-158.144083,21.355916
Lutjanus kasmira,-159.7955,-21.2311
Lutjanus kasmira,34.906595,27.942172
Lutjanus kasmira,-158.143731,21.355866
Lutjanus kasmira,53.678317,-5.67742
Lutjanus kasmira,-158.146225,21.355896
Lutjanus kasmira,-159.32237,22.054958
Lutjanus kasmira,32.690166,-27.523481
Lutjanus kasmira,73.533701,4.233407
Lutjanus kasmira,35.499258,-21.728079
Lutjanus kasmira,-178.369203,-19.110811000000002
Lutjanus kasmira,119.933333,8.85
Lutjanus kasmira,112.330004,16.838264
Lutjanus kasmira,178.522084,-18.762457
Lutjanus kasmira,-174.387717,-19.796368
Lutjanus kasmira,119.596782,-17.075185
Lutjanus kasmira,-174.093398,-18.668241
Lutjanus kasmira,-172.362791,-13.442305
Lutjanus kasmira,105.643757,-10.463056
Lutjanus kasmira,119.363945,-17.259085
Lutjanus kasmira,73.424707,5.492562
Lutjanus kasmira,-157.860234,21.27826
Lutjanus kasmira,153.577028,-28.194728
Lutjanus kasmira,178.520032,-18.893642
Lutjanus kasmira,178.14822,-18.990415
Lutjanus kasmira,33.91437,26.984326
Lutjanus kasmira,-158.063278,21.6552
Lutjanus kasmira,72.959,3.6335
Lutjanus kasmira,39.365073,-4.716259
Lutjanus kasmira,145.796424,-15.492552
Lutjanus kasmira,-158.063364,21.654956
Lutjanus kasmira,153.57563,-28.195188
Lutjanus kasmira,-156.031808,19.654942
Lutjanus kasmira,-157.87036,21.291501
Lutjanus kasmira,153.26693,-30.205483
Lutjanus kasmira,-155.920431,19.474526
Lutjanus kasmira,32.952593,-26.073993
Lutjanus kasmira,30.816794,-30.261438
Lutjanus kasmira,153.391466,-29.929429
Lutjanus kasmira,167.507838,11.375954
Lutjanus kasmira,-156.0291,19.667847
Lutjanus kasmira,134.22177,7.134258
Lutjanus kasmira,-156.050206,19.704886
Lutjanus kasmira,-156.053694,19.736236
Lutjanus kasmira,-157.863342,21.288981
