Scientific.Name,Longitude,Latitude
Pomacanthus semicirculatus,113.746819,-23.12952
Pomacanthus semicirculatus,-87.4313,20.1478
Pomacanthus semicirculatus,178.758083,-17.176975
Pomacanthus semicirculatus,105.58239,-10.452026
Pomacanthus semicirculatus,55.425205,-4.609804
Pomacanthus semicirculatus,55.420742,-4.608606
Pomacanthus semicirculatus,121.8708,24.5842
Pomacanthus semicirculatus,55.370998,-4.639167
Pomacanthus semicirculatus,55.480335,-4.661
Pomacanthus semicirculatus,-178.525833,-16.835667
Pomacanthus semicirculatus,119.535023,-8.675057
Pomacanthus semicirculatus,177.276771,-17.722472
Pomacanthus semicirculatus,55.418208,-4.594845
Pomacanthus semicirculatus,122.001533,25.014958
Pomacanthus semicirculatus,124.763037,9.212992
Pomacanthus semicirculatus,55.418068,-4.594642
Pomacanthus semicirculatus,115.442111,-8.76174
Pomacanthus semicirculatus,121.96284,24.982113
Pomacanthus semicirculatus,113.767912,-23.141276
Pomacanthus semicirculatus,152.710258,-24.114075
Pomacanthus semicirculatus,153.368289,-27.162751
Pomacanthus semicirculatus,121.898574,25.121336
Pomacanthus semicirculatus,127.874821,26.649555
Pomacanthus semicirculatus,121.899108,25.120845
Pomacanthus semicirculatus,113.90947799999999,-22.036732
Pomacanthus semicirculatus,49.855311,-17.06149
Pomacanthus semicirculatus,113.910269,-22.036036
Pomacanthus semicirculatus,115.475876,-8.687103
Pomacanthus semicirculatus,55.524411,-4.719333
Pomacanthus semicirculatus,113.766,-23.0894
Pomacanthus semicirculatus,147.068647,-18.614673
Pomacanthus semicirculatus,147.069283,-18.614856
Pomacanthus semicirculatus,113.830379,-28.843923
Pomacanthus semicirculatus,49.862132,-17.028072
Pomacanthus semicirculatus,147.625444,-19.304417
Pomacanthus semicirculatus,113.5502,-22.7056
Pomacanthus semicirculatus,113.5605,-22.693
Pomacanthus semicirculatus,113.529,-22.7564
Pomacanthus semicirculatus,113.5564,-22.691
Pomacanthus semicirculatus,113.5628,-22.6957
Pomacanthus semicirculatus,113.5669,-22.6847
Pomacanthus semicirculatus,30.81902,-30.264623
Pomacanthus semicirculatus,114.372937,-21.627884
Pomacanthus semicirculatus,147.068653,-18.617187
Pomacanthus semicirculatus,121.545131,23.483215
Pomacanthus semicirculatus,177.217445,-17.168787
Pomacanthus semicirculatus,146.86487,-19.155063
Pomacanthus semicirculatus,116.030767,-8.338349
Pomacanthus semicirculatus,114.142355,-21.792486
Pomacanthus semicirculatus,177.155375,-17.770935
Pomacanthus semicirculatus,145.990245,-16.463353
Pomacanthus semicirculatus,119.887656,-8.405522
Pomacanthus semicirculatus,121.80414,25.140085
Pomacanthus semicirculatus,147.068703,-18.615096
Pomacanthus semicirculatus,121.999178,25.018258
Pomacanthus semicirculatus,49.394993,-12.26311
Pomacanthus semicirculatus,113.752967,-23.132715
Pomacanthus semicirculatus,178.100962,-18.381993
Pomacanthus semicirculatus,114.191547,-21.816757
Pomacanthus semicirculatus,113.718673,-28.485384
Pomacanthus semicirculatus,83.300362,17.696428
Pomacanthus semicirculatus,143.899764,-11.729733
Pomacanthus semicirculatus,116.007198,6.019245
Pomacanthus semicirculatus,114.378971,-21.624823
Pomacanthus semicirculatus,114.341616,-21.660977
Pomacanthus semicirculatus,121.90038,25.121368
Pomacanthus semicirculatus,114.989942,-21.446067
Pomacanthus semicirculatus,121.900457,25.121414
Pomacanthus semicirculatus,121.999242,25.018435
Pomacanthus semicirculatus,165.263278,-20.796339
Pomacanthus semicirculatus,113.884901,-22.099908
Pomacanthus semicirculatus,114.191685,-21.816967000000002
Pomacanthus semicirculatus,115.609461,-8.257386
Pomacanthus semicirculatus,153.390346,-29.928584
Pomacanthus semicirculatus,121.806441,25.145908
Pomacanthus semicirculatus,113.884101,-22.098926
Pomacanthus semicirculatus,177.40294,-16.932704
Pomacanthus semicirculatus,153.368213,-27.163415
Pomacanthus semicirculatus,113.884878,-22.100047
Pomacanthus semicirculatus,121.480324,22.641092
Pomacanthus semicirculatus,121.479739,22.638527
Pomacanthus semicirculatus,113.885183,-22.098881
Pomacanthus semicirculatus,177.143168,-17.352738
Pomacanthus semicirculatus,177.143347,-17.351712
Pomacanthus semicirculatus,49.861953,-17.027786
Pomacanthus semicirculatus,121.602741,23.680159
Pomacanthus semicirculatus,113.92527,-22.028521
Pomacanthus semicirculatus,114.957479,-8.49893
Pomacanthus semicirculatus,113.875314,-22.132212
Pomacanthus semicirculatus,151.87041,-23.458859
Pomacanthus semicirculatus,121.585102,23.690753
Pomacanthus semicirculatus,92.988061,12.038658
Pomacanthus semicirculatus,113.705515,-28.452396
Pomacanthus semicirculatus,120.374977,22.355106
Pomacanthus semicirculatus,120.370731,22.330027
Pomacanthus semicirculatus,113.731889,-28.446356
Pomacanthus semicirculatus,48.16421,-13.31928
Pomacanthus semicirculatus,167.29862,-20.9125
Pomacanthus semicirculatus,166.24944,-22.36083
Pomacanthus semicirculatus,167.28472,-20.91111
Pomacanthus semicirculatus,55.81347,-4.32159
Pomacanthus semicirculatus,55.76866,-4.41659
Pomacanthus semicirculatus,48.13444,-13.30381
Pomacanthus semicirculatus,167.26389,-20.90194
Pomacanthus semicirculatus,115.45421,-8.73668
Pomacanthus semicirculatus,165.38017,-20.83649
Pomacanthus semicirculatus,167.02889,-20.75962
Pomacanthus semicirculatus,167.27782,-20.91792
Pomacanthus semicirculatus,167.29073,-20.86927
Pomacanthus semicirculatus,167.02897,-20.74855
Pomacanthus semicirculatus,167.04373,-20.78002
Pomacanthus semicirculatus,167.02417,-20.75938
Pomacanthus semicirculatus,167.26865,-20.89932
Pomacanthus semicirculatus,165.13315,-20.58231
Pomacanthus semicirculatus,167.27739,-20.91578
Pomacanthus semicirculatus,167.26381,-20.90201
Pomacanthus semicirculatus,165.39089,-20.83705
