Scientific.Name,Longitude,Latitude
Unomia stolonifera,115.467697,-8.663787
Unomia stolonifera,-64.568432,10.25038
Unomia stolonifera,-68.244761,10.728697
Unomia stolonifera,-82.05376,23.181296
Unomia stolonifera,-64.438727,10.349783
Unomia stolonifera,123.367378,9.942431
Unomia stolonifera,124.017668,11.449514
Unomia stolonifera,120.907304,13.723551
Unomia stolonifera,124.253255,11.118323
Unomia stolonifera,124.110039,11.346864
Unomia stolonifera,124.121644,11.343505
Unomia stolonifera,-64.539022,10.238478
Unomia stolonifera,-64.545481,10.251232
Unomia stolonifera,-64.547512,10.25204
Unomia stolonifera,-64.488914,10.266428
Unomia stolonifera,-67.562672,10.516505
Unomia stolonifera,-64.539722,10.244167
Unomia stolonifera,-64.473282,10.262567
Unomia stolonifera,-64.542654,10.261022
Unomia stolonifera,-67.562554,10.516454
Unomia stolonifera,-64.52915,10.244602
Unomia stolonifera,-64.549868,10.266952
