Scientific.Name,Longitude,Latitude,Country
Unomia stolonifera,115.467697,-8.663787,ID
Unomia stolonifera,-64.568432,10.25038,VE
Unomia stolonifera,-68.244761,10.728697,VE
Unomia stolonifera,-82.05376,23.181296,CU
Unomia stolonifera,-64.438727,10.349783,VE
Unomia stolonifera,123.367378,9.942431,PH
Unomia stolonifera,124.017668,11.449514,PH
Unomia stolonifera,120.907304,13.723551,PH
Unomia stolonifera,124.253255,11.118323,PH
Unomia stolonifera,124.110039,11.346864,PH
Unomia stolonifera,124.121644,11.343505,PH
Unomia stolonifera,-64.539022,10.238478,VE
Unomia stolonifera,-64.545481,10.251232,VE
Unomia stolonifera,-64.547512,10.25204,VE
Unomia stolonifera,-64.488914,10.266428,VE
Unomia stolonifera,-67.562672,10.516505,VE
Unomia stolonifera,-64.539722,10.244167,VE
Unomia stolonifera,-64.473282,10.262567,VE
Unomia stolonifera,-64.542654,10.261022,VE
Unomia stolonifera,-67.562554,10.516454,VE
Unomia stolonifera,-64.52915,10.244602,VE
Unomia stolonifera,-64.549868,10.266952,VE
